step,len_top_returned,mass_k40,mass_k100,mass_k128,p_chosen_in_top
0,128,0.805149426,0.88402471,0.899062654,0.167117027
1,128,0.952836367,0.981022382,0.984517803,0.38539401
2,128,0.9679346,0.981145493,0.984031663,0.790684763
3,128,0.938793178,0.978893909,0.984324929,0.237203482
4,128,0.987499438,0.993714461,0.994941849,0.401410211
5,128,0.992719649,0.99689813,0.997606564,0.409760364
6,128,0.996096114,0.99760819,0.997949006,0.590582208
7,128,0.999961397,0.999993782,0.99999687,0.687998473
8,128,0.998044281,0.998952821,0.999123993,0.905800759
9,128,0.99869872,0.999338212,0.999445659,0.593962312
10,128,0.999875888,0.999928841,0.999941489,0.998799324
11,128,0.999999955,1.000001089,1.000001193,0.999627471
12,128,0.99997063,0.999988352,0.999991929,0.999562204
13,128,0.998297651,0.998971999,0.999118294,0.406414678
14,128,0.999609874,0.999817731,0.999853921,0.482162594
15,128,0.999771039,0.999874036,0.999894561,0.886941433
16,128,0.999603803,0.999866805,0.999895675,0.978009998
17,128,0.995157303,0.998111056,0.998537286,0.513882226
18,128,0.999976642,0.999991237,0.99999408,0.996072292
19,128,0.999615307,0.999827129,0.99985912,0.898965062
20,128,0.999521754,0.999795558,0.999844483,0.797473913
21,128,0.998195828,0.999294986,0.999429937,0.858124072
22,128,0.999786477,0.999880892,0.99989816,0.806794524
23,128,0.999760358,0.999867522,0.999890111,0.99817574
24,128,0.999554325,0.99982699,0.999866515,0.961089669
25,128,0.997318909,0.99937679,0.999525579,0.347039736
26,128,0.995692186,0.998090566,0.99837467,0.209014061
27,128,0.998567792,0.99925491,0.999378934,0.435240594
28,128,0.999564317,0.999764295,0.999802573,0.382921971
29,128,0.999579108,0.999738609,0.999768285,0.696956108
30,128,0.999932214,0.999963645,0.999971293,0.968479395
31,128,0.999891012,0.99994715,0.999957557,0.774254809
32,128,0.999562024,0.999816062,0.999860367,0.698545937
33,128,1.000000501,1.000000861,1.000000933,0.999987364
34,128,0.999477798,0.999779087,0.99983194,0.506635318
35,128,0.992861894,0.997197079,0.997809206,0.216594639
36,128,0.998929123,0.999451669,0.999537358,0.491440263
37,128,0.99977428,0.999905183,0.999925547,0.985401988
38,128,0.99999991,1.000000695,1.000000814,0.810803412
39,128,1.000000208,1.000000778,1.000000871,0.999987602
40,128,0.99999649,1.000000607,1.00000148,0.999898434
41,128,0.999657546,0.99986552,0.999892822,0.917513369
42,128,0.998703471,0.999402145,0.999501284,0.410868911
43,128,0.99989848,0.99995345,0.999965063,0.958207666
44,128,0.998299928,0.999294464,0.999422209,0.581647814
45,128,0.999838295,0.999912107,0.9999279,0.854540411
46,128,0.999855474,0.999923858,0.999936467,0.968438208
47,128,0.999868929,0.999943269,0.999954972,0.862368697
48,128,0.999881927,0.999954232,0.99996487,0.929466489
49,128,0.999719017,0.999857907,0.999883786,0.780465131
50,128,0.999983593,0.999995338,0.999997467,0.969263911
51,128,0.999716708,0.999901969,0.999926726,0.531408177
52,128,0.986093537,0.995711001,0.996813692,0.626552705
53,128,0.996317618,0.998842698,0.999096483,0.429853528
54,128,0.998090759,0.999041615,0.999217358,0.956981601
55,128,0.985442557,0.995054617,0.996372997,0.351860413
56,128,0.98507219,0.993261214,0.994646607,0.267922827
57,128,0.98321391,0.993999836,0.995504704,0.359170366
58,128,0.999159737,0.999630133,0.999699524,0.937454401
59,128,0.999999332,1.000001437,1.000001846,0.996083498
60,128,0.994527561,0.997627639,0.998071067,0.552503761
61,128,0.996699532,0.998610001,0.99891812,0.667078909
62,128,0.996413717,0.998491666,0.998748362,0.544576344
63,128,0.99292784,0.997583455,0.998026941,0.408633326
64,128,0.989658363,0.9969128,0.997603859,0.417826822
65,128,0.959360678,0.986052371,0.989873996,0.257194101
66,128,0.9988,0.999572929,0.999656963,0.936445233
67,128,0.996168055,0.998414622,0.998733191,0.44188438
68,128,0.994404025,0.997789931,0.998247642,0.464802402
69,128,0.995483149,0.998033443,0.998400973,0.47497148
70,128,0.993645139,0.9979457,0.998539641,0.725511132
71,128,0.890583108,0.965998723,0.974349712,0.12074217
72,128,0.928664089,0.960047111,0.965878708,0.489592571
73,128,0.98696893,0.993795109,0.994806144,0.601529834
74,128,0.999052321,0.99949352,0.999575949,0.844625655
75,128,0.990505315,0.995669924,0.996414323,0.398617149
76,128,0.999061252,0.999545122,0.999616355,0.868123168
77,128,0.984622516,0.994818603,0.995934169,0.681290326
78,128,0.997116662,0.998510029,0.998748902,0.975971997
79,128,0.908304194,0.945046422,0.952538934,0.594694187
80,128,0.931841705,0.964624128,0.969174243,0.205857901
81,128,0.987967826,0.994173368,0.995103562,0.642840572
82,128,0.998955692,0.999438205,0.999520114,0.676016385
83,128,0.965228928,0.987402441,0.990254365,0.213301963
84,128,0.957762289,0.983309127,0.986792017,0.320030883
85,128,0.982734978,0.994041939,0.995328383,0.38811288
86,128,0.999789006,0.999898378,0.999917781,0.978921354
87,128,0.995003104,0.997299038,0.997681855,0.779761436
88,128,0.999669387,0.999835068,0.999863565,0.962779583
89,128,0.999909897,0.999963809,0.999972736,0.996982157
90,128,0.998506653,0.999259811,0.999386216,0.940618397
91,128,0.994812036,0.997940331,0.99845104,0.686938764
92,128,0.979057306,0.99440697,0.996103731,0.433008962
93,128,0.992692586,0.996509495,0.997171585,0.296225858
94,128,0.998393998,0.999419383,0.99955511,0.69347608
95,128,0.997580756,0.999277109,0.999465305,0.727526732
96,128,0.999275536,0.999764317,0.999821163,0.979146123
97,128,0.998446239,0.999409106,0.999535021,0.876021264
98,128,0.999251072,0.999770957,0.999831494,0.658802264
99,128,0.999948741,0.999980167,0.999985857,0.998676717
100,128,0.999960291,0.999987224,0.999991712,0.991531432
101,128,0.999909996,0.999967626,0.999975615,0.85869592
102,128,0.999797002,0.999892719,0.999910017,0.814592244
103,128,0.999971075,0.999989422,0.999992468,0.967872262
104,128,0.999749823,0.999909324,0.999932208,0.526691975
105,128,0.998931292,0.999590071,0.999690833,0.834581377
106,128,0.99965255,0.999856516,0.999892988,0.901164355
107,128,0.999912641,0.999962184,0.999971494,0.971693336
108,128,0.999695965,0.999880352,0.999909951,0.678674516
109,128,0.999971783,0.999988172,0.999991831,0.98127824
110,128,0.999962001,0.999986406,0.999990438,0.996357262
111,128,0.999462606,0.999809578,0.99985571,0.847398882
112,128,0.980718807,0.994844885,0.996467203,0.380701072
113,128,0.984886686,0.997003692,0.997966451,0.45170514
114,128,0.999494873,0.999825228,0.999867015,0.629197605
115,128,0.998910485,0.999610855,0.999702366,0.986636221
116,128,0.991695596,0.997679536,0.998398281,0.327031459
117,128,0.980253906,0.993651608,0.995155578,0.447578498
118,128,0.976142953,0.991303216,0.993264134,0.319230417
119,128,0.989485621,0.99649173,0.99728043,0.359004063
120,128,0.99499858,0.998097398,0.998581414,0.418493896
121,128,0.998949302,0.999537944,0.999634449,0.728649489
122,128,0.99811494,0.999329547,0.999461253,0.306066704
123,128,0.988581823,0.996275026,0.997155599,0.339601746
124,128,0.999986078,0.99999887,1.000000282,0.966109632
125,128,0.998199189,0.999188012,0.999311108,0.62731451
126,128,0.999752252,0.99989093,0.999911814,0.725779596
127,128,0.999974539,0.99998944,0.999992841,0.999731123
128,128,1.000000071,1.000000367,1.00000039,0.999927044
129,128,0.999997382,1.000000503,1.000001023,0.999899149
130,128,0.997182938,0.998663542,0.99893703,0.446799999
131,128,0.976633228,0.995069508,0.996874584,0.190757239
132,128,0.995089996,0.998904934,0.99931436,0.713454135
133,128,0.997202988,0.999026062,0.999251384,0.758288373
134,128,0.98250105,0.995495305,0.996766088,0.449653836
135,128,0.997613797,0.999399606,0.999562851,0.745090542
136,128,0.988923089,0.99520267,0.996157223,0.478808018
137,128,0.999874242,0.999977051,0.999986888,0.439126258
138,128,0.999707415,0.999851951,0.999879015,0.908444461
139,128,0.999456777,0.999787681,0.999837612,0.465150139
140,128,0.999678663,0.999875097,0.999903096,0.68235397
141,128,0.999709394,0.999873157,0.99990302,0.983851016
142,128,0.99999978,1.000000663,1.000000761,0.999914169
143,128,0.999665207,0.999825196,0.999857149,0.975989103
144,128,0.999640581,0.999863061,0.999894084,0.752994289
145,128,0.999985703,0.999995881,0.999997822,0.999613345
146,128,1.000000055,1.000000195,1.000000205,0.99996984
147,128,1.000000494,1.000000927,1.000001,0.999977827
148,128,0.999935875,0.999970982,0.999977839,0.817699972
149,128,0.992909413,0.997311327,0.997931797,0.629305248
150,128,0.998279429,0.999383634,0.999539904,0.350778639
151,128,0.99950496,0.999724342,0.999762648,0.88586086
